Address,Property URL,City,Lot Size (AC),Price,Property Type,
5830-5975 Tutt Center Pt,https://www.loopnet.com/Listing/5830-5975-Tutt-Center-Pt-Colorado-Springs-CO/37169828/,"Colorado Springs, CO 80923",0.76," $397,267.00 ",Commercial Lots,
15535 E 40th Ave,https://www.loopnet.com/Listing/15535-E-40th-Ave-Denver-CO/35141975/,"Denver, CO 80239",0.84," $875,000.00 ",Commercial Lot,
SEC County Line Rd. & Bonnell Ave,https://www.loopnet.com/Listing/SEC-County-Line-Rd-Bonnell-Ave-Erie-CO/39854081/,"Erie, CO 80516",0.85," $1,000,873.10 ",Commercial Lot,
2433 Champa St,https://www.loopnet.com/Listing/2433-Champa-St-Denver-CO/39507403/,"Denver, CO 80205",0.85," $5,500,000.00 ",Commercial Lot,
11958 Lincoln Ave,https://www.loopnet.com/Listing/Lincoln-Ave-Parker-CO/39741118/,"Parker, CO 80138",0.86," $495,000.00 ",Commercial Lot,
3529 W 4th St,https://www.loopnet.com/Listing/3529-W-4th-St-Greeley-CO/33222629/,"Greeley, CO 80634",0.86," $730,000.00 ",Commercial Lot,
Harmony Rd,https://www.loopnet.com/Listing/Harmony-Rd-Timnath-CO/21109276/,"Timnath, CO 80547",0.88," $689,895.00 ",Commercial Lots,
4175 E Iliff Ave,https://www.loopnet.com/Listing/4175-E-Iliff-Ave-Denver-CO/38440964/,"Denver, CO 80222",0.88," $1,880,000.00 ",Commercial Lot,
2505 Airport Rd,https://www.loopnet.com/Listing/2505-Airport-Rd-Colorado-Springs-CO/36938245/,"Colorado Springs, CO 80910",0.89," $449,500.00 ",Commercial Lot,
6401 Wadsworth Byp,https://www.loopnet.com/Listing/6401-Wadsworth-Byp-Arvada-CO/31048041/,"Arvada, CO 80003",0.89," $895,905.59 ",Commercial Lot,
6280 Benton Street,https://www.loopnet.com/Listing/6280-Benton-Street-Arvada-CO/35238536/,"Arvada, CO 80002",0.9," $898,727.90 ",Commercial Lot,
2351 Main St,https://www.loopnet.com/Listing/2351-Main-St-Longmont-CO/39601199/,"Longmont, CO 80501",0.92," $1,046,206.92 ",Commercial Lot,
16060 E 104th Ave,https://www.loopnet.com/Listing/16060-E-104th-Ave-Commerce-City-CO/39586489/,"Commerce City, CO 80022",0.93," $907,194.83 ",Commercial Lot,
Powers Blvd,https://www.loopnet.com/Listing/Powers-Blvd-Colorado-Springs-CO/27500579/,"Colorado Springs, CO 80920",0.93," $1,052,683.18 ",Commercial Lots,
2450 Curtis St,https://www.loopnet.com/Listing/2450-Curtis-St-Denver-CO/34878162/,"Denver, CO 80205",0.93," $1,930,000.00 ",Commercial Lot,
1120 Alpine Ave,https://www.loopnet.com/Listing/1120-1130-Alpine-Ave-Boulder-CO/39852837/,"Boulder, CO 80304",0.93," $8,000,000.00 ",Commercial Lot,
12045 S Parker Rd,https://www.loopnet.com/Listing/12045-S-Parker-Rd-Parker-CO/18251994/,"Parker, CO 80134",0.94," $1,000,000.00 ",Commercial Lot,
19801 E Mainstreet,https://www.loopnet.com/Listing/19801-E-Mainstreet-Parker-CO/31023396/,"Parker, CO 80138",0.94," $1,059,159.44 ",Commercial Lot,
12353 E 104th Pl,https://www.loopnet.com/Listing/12353-E-104th-Pl-Commerce-City-CO/39324469/,"Commerce City, CO 80022",0.95," $580,000.00 ",Commercial Lot,
1801 W Union Ave,https://www.loopnet.com/Listing/1801-W-Union-Ave-Englewood-CO/39250756/,"Englewood, CO 80110",0.95," $912,839.45 ",Commercial Lot,
1847 61st Ave,https://www.loopnet.com/Listing/1847-61st-Ave-Greeley-CO/37168060/,"Greeley, CO 80634",0.96," $250,000.00 ",Commercial Lot,
6375 Lookout Rd,https://www.loopnet.com/Listing/6375-Lookout-Rd-Boulder-CO/35970288/,"Boulder, CO 80301",0.96," $1,260,000.00 ",Commercial Lot,
469 S Martin St,https://www.loopnet.com/Listing/469-S-Martin-St-Longmont-CO/30284924/,"Longmont, CO 80501",0.98," $1,085,064.48 ",Commercial Lot,
6523 S Parker Rd,https://www.loopnet.com/Listing/6523-S-Parker-Rd-Aurora-CO/36302574/,"Aurora, CO 80016",0.99," $924,128.69 ",Commercial Lot,
7269 Bandley Rd,https://www.loopnet.com/Listing/7269-Bandley-Rd-Fountain-CO/6423884/,"Fountain, CO 80817",1," $653,400.00 ",Commercial Lots,
